What are the special things we (husband and me) can do during a 5 day stay at Cape Town?,TTD,TTDSIG
What are the companies which organize shark feeding events for scuba divers?,TTD,TTDOTH
Is it safe for female traveller to go alone to Cape Town?,TGU,TGUHEA
What are the best places around Cape Town for safari?,TTD,TTDSIG
What are the best places to stay for a family to stay away from nightlife?,ACM,ACMOTH
What are the train services that travels from cape town to Oudtshoorn?,TRS,TRSTRN
What are the best places to spend about 2 weeks relaxing honeymoon in South Africa?,ACM,ACMOTH
Can we use travellers cheques and credit cards in Cape Town?,TGU,TGUBAN
Is it warm enough to swim in early September in Cape Town?,WTH,WTHTMP
What are the best beaches for shelling in CapeTown?,TTD,TTDSIG
I want to find a central location in Cape Town to stay with my family with ease access of food and necessities?,TGU,TGUNEI
What are the differences between Shamwari and Kwandwe game reserves and what is the best?,TTD,TTDSIG
From where can I find adventure activity camps in South Africa?,TTD,TTDSPO
How can I select an apartment with best views on Lawhill apartments?,ACM,ACMAPA
Is it okay to use Afrique Boutique Hotel shuttle service from/to airport or should I pick a taxi?,TRS,TRSOTH
Is there any direct flights from Port Elizabeth to Victoria falls?,TRS,TRSAIR
Can anyone suggest me a route to go from Cape Town to Cape Point?,TRS,TRSROU
Can anyone suggest me an itinerary from Port Elizabeth for 2 weeks for self driving road trip?,TGU,TGUOTH
What resort would you recommend in and around Cape Town for a couple with a 5 year old towards the end of October?,ACM,ACMRES
"Can anyone recommend a place with lovely views to stay in Knysna for 2 nights in middle of January, 2017?",ACM,ACMOTH
"Is it possible to camping in Kruger National Park for few nights, sleeping in our own tent?",ACM,ACMBUN
Do we have to navigate to another terminal to get into domestic flights to Skukuza?,TRS,TRSAIR
"Are chip and signature credit cards accepted in South Africa, or is a chip and pin required?",TGU,TGUBAN
What are the cruise lines I can use to go from Cape Town to Lisbon,TRS,TRSCRS
Can you suggest me must see places & budget required for trip Sightseeing activities as we are coming to SA for 7 day stay for anniversary celebrations.,TTD,TTDSIG
What are the advantages/disadvantages of visiting La Digue on Sunday?,TTD,TTDSIG
What are the best places to spend honeymoon in Seychelles?,ACM,ACMOTH
Can anyone suggest a good itinerary for our 4 day stay at Seychelles?,TGU,TGUOTH
Which La Digue Island hotels are cheap for lunch and dinner?,ACM,ACMOTH
Would rain be a deal breaker at the end of November for tourists?,WTH,WTHDRC
How can I get the details about ferry services to go between islands in Seychelles?,TRS,TRSCRS
What are the cost effective car rental services around Mahe?,TRS,TRSRNT
How much cash should I carry for the incidental expenses when travelling from Praslin to La Digue ?,TGU,TGUBAN
What are some reputable tour companies that offer tours to Praslin and/or La Digue?,TGU,TGUTOP
Can you please suggest the best Scuba diving spots in Seychelles?,TTD,TTDSPO
How is the watersports availability during the month of December?,TTD,TTDSPO
"Are there any restaurants or bars near Kempinski, Mahe ?",FOD,FODOTH
would it be worth hiring a car to explore the Seychelles island?,TRS,TRSRNT
As a Libyan citizen do i have to take visa for visit Seychelles?,TGU,TGUVIS
From where can I try best local food in Seychelles?,FOD,FODAUT
Is it worth to going on a glass bottom boat to 3 islands ?,TTD,TTDTRI
Can you suggest a place to stay during our honeymoon on September where we can avoid from seaweeds?,ACM,ACMOTH
"What is the best currency to use in Seychelles USD, GBP or Euro?",TGU,TGUBAN
Can anyone who has recently married in the Seychelles recommend a wedding planner or should I go via a travel agent?,TGU,TGUPLN
How much will be the cost of taxi from Mahe international airport to Berjaya Beau Vallon Bay Resort?,TRS,TRSTAX
What kind of weather I can expect in mid of July in Seychelles?,WTH,WTHOTH
Is it possible to visit Spice Gardens from ferry terminal using local bus?,TRS,TRSBUS
Which hotels on Mahe have interconnecting rooms ?,ACM,ACMHOT
From where can I rent bikes and sidecars for babies in La Digue?,TRS,TRSRNT
Where is the Mosque in Praslin Island located?,TTD,TTDSIG
Can anyone advice me a good bridal makeup artist and hairdresser in Seychelles?,TGU,TGUPLN
Where will be the best shop to buy food and drinks for our 7 day sailing trip?,FOD,FODOTH
Could anyone put me in contact with a person I could hire a beach tent or canopies table chairs for a birthday celebration with 50 pax?,TGU,TGUOTH
Can anyone recommend a good place to stay for couples with great snorkelling on hand and beautiful private beaches?,ACM,ACMOTH
Do you have to protect your feet while swimming in the seychelles from fish (I have seen pictures of stone fish there) and jellyfish?,TGU,TGUHEA
Where should I stay to get the best view of pyramids?,ACM,ACMOTH
How is the weather in Agadir on September?,WTH,WTHOTH
Does a US citizen need visa to enter to Morocco?,TGU,TGUVIS
How can I find a riad in Medina to stay for a week in October?,ACM,ACMOTH
Are there any lockers in train stations? Or maybe in the center of towns?,TGU,TGULUG
Can you suggest a 8 day itinerary which covers most of the important places starting from Marrakech?,TGU,TGUOTH
From where can I rent a 4WD vehicle in Marrakech?,TRS,TRSRNT
What are the places we can visit around Tangier within 12 hours?,TTD,TTDSIG
Do rooms tend to have safes in them or are there safes in reception in hotels in Marrakech?,ACM,ACMHOT
What are the good hotels to stay for a solo female traveller in Marrakech?,ACM,ACMHOT
How can I book trains with beds to travel in night from Marrakech to Tanger?,TRS,TRSTRN
Where I can find long term rental apartments in Casablanca?,ACM,ACMAPA
Could anyone recommend any nice restaurants within walking distance of Riu Tikida Dunas?,FOD,FODBAK
Can anyone please advise of a really nice spa in Essaouira?,TTD,TTDSPA
Where to buy some good wine in Essaouira?,FOD,FODBRE
How to get to Asilah from Casablanca?,TRS,TRSROU
From where can I find a good street map of Marrakech?,TGU,TGUATT
Could you please advice some tour companies who might provide transport from and to our hotel or are we better off taking a taxi from airport?,TGU,TGUTOP
What kind of places I can visit for bird watching near Marrakech?,TTD,TTDSIG
When does the fishing season begin in Bin El ouidane ?,TTD,TTDSPO
Do I need a converter or just a power adapter from the U.S. to use in Morocco?,TGU,TGUOTH
From Where can I hire a local guide in Nairobi?,TGU,TGUTOP
How can find good accommodation near Samburu National Reserve?,ACM,ACMOTH
Does anyone know of a place to rent a good Canon telephoto lenses (ideally a 400MM) in Kenya for safari?,TGU,TGUOTH
Which tour operators provide basic tented accommodation inside the park with 4x4 jeep safari for the game drives in Maasai Mara National Reserve?,TGU,TGUTOP
Is there a constant sandbank at the ocean in Diani beach?,TTD,TTDSIG
Has anyone used Scandinavian bus from Nairobi to Dar Es salaam?,TRS,TRSBUS
"Can anyone suggest about rent a car companies, prices in Mombasa?",TRS,TRSRNT
Which companies offer balloon rides around Maasai Mara National Reserve?,TTD,TTDSPO
Where is the most popular place for nightlife in Nairobi??,ENT,ENTCLB
Can anyone suggest a central location to spend a relaxing holiday in Madagascar?,ACM,ACMOTH
What are the best national parks in Madagascar that I can cover within 2 weeks?,TTD,TTDSIG
Can someone suggest me a place to stay nearby the forello expo centre in Antananarivo?,ACM,ACMOTH
What are the commonly speaking languages in Madagascar?,TGU,TGUATT
How reliable are the Air Madagascar flights back to johannesburg?,TRS,TRSAIR
Does anyone know how to buy from Madagascar Air online?,TRS,TRSAIR
How much currency should I be looking to take during my 2 weeks stay at Madagascar?,TGU,TGUBAN
What are the average costs per day I should take into account as an mid range traveller?,TGU,TGUAVE
Can I cover snorkeling and whale watching within 4 days at Nosy Bohara?,TTD,TTDSPO
Can someone suggest a good places to visit during our honeymoon at Madagascar?,TTD,TTDSIG
Does anyone know if there are good surf spots around Ifaty?,TTD,TTDSPO
Are there surfboard rental shop in the area?,TGU,TGUOTH
Am I correct in believing that I will need to get a visa before I go for a stay of over 30 days but under 2 months?,TGU,TGUVIS
What are the good restaurants near Saint Lucia Reserve Madagascar?,FOD,FODBAK
What is the most used currency at Madagascar?,TGU,TGUBAN
What are the must see attractions in Northern region of Madagascar?,TTD,TTDSIG
Can anyone recommend any good restaurants in Tana?,FOD,FODBAK
Can someone please let me know what is the cell phone reception and WIFI are like in Tsarabanjina lodge after the upgrade?,TGU,TGUTEL
"What would you suggest for a 3-4 day itinerary to explore culture, hiking, wildlife in Madagascar?",TGU,TGUOTH
Can you please help me with current costs for food ?,FOD,FODOTH
What discount could we hope for approximately if we waited for purchase domestic air tickets at Madagascar?,TRS,TRSAIR
How much it will cost to go from Tana airport to Ampijoroa?,TRS,TRSAIR
